iter	Passed	Remaining
0	1	111
1	1	74
2	1	58
3	2	50
4	2	45
5	2	42
6	3	40
7	3	38
8	3	37
9	3	35
10	4	35
11	4	35
12	5	35
13	5	34
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	8	30
21	8	29
22	8	29
23	9	29
24	9	28
25	9	28
26	10	27
27	10	27
28	11	27
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	13	24
36	14	24
37	14	24
38	15	23
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	17	21
46	18	20
47	18	20
48	18	19
49	19	19
50	19	18
51	19	18
52	20	17
53	20	17
54	20	17
55	21	16
56	21	16
57	22	16
58	22	15
59	23	15
60	23	14
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	25	12
67	26	12
68	27	12
69	27	11
70	27	11
71	28	10
72	28	10
73	29	10
74	29	9
75	30	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	32	6
84	33	5
85	33	5
86	33	5
87	34	4
88	34	4
89	35	3
90	35	3
91	36	3
92	36	2
93	37	2
94	37	1
95	38	1
96	38	1
97	38	0
98	39	0
99	39	0
